name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude,coord_source
Vea 3,BRA0070201,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.047221,-41.399389,Brazil national data
Tatarema,BRA0031418,6.0,Wind,Brazil,Renova Energia SA,http://sigel.aneel.gov.br/kmz.html,-14.238886,-42.648897,Brazil national data
Tobata,WRI1020069,891.75,Gas,Japan,TOBATA COOP THERMAL POWER CO,Tobata Thermal Power Company,33.925004,130.846797,WRI data
Ogdensburg Power,USA0010803,26.9,Gas,United States of America,AG Energy LP,EIA-860,44.7258,-75.4417,United States of America national data
Boydton Plank Road Cogen Plant,USA0054766,10.2,Oil,United States of America,Dinwiddie Power Inc,EIA-860,37.193584,-77.467185,United States of America national data
Vea 4,BRA0070202,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.047557,-41.39438,Brazil national data
Massingir,WRI1000113,28.0,Hydro,Mozambique,,Hydropower Resources Statistical Database in Africa,-23.9180556,32.1575,CARMA data
Corumana,WRI1000112,166.0,Hydro,Mozambique,,Hydropower Resources Statistical Database in Africa,-25.21854,32.13417,GEO data
Waterport,USA0002623,4.0,Hydro,United States of America,Erie Boulevard Hydropower LP,EIA-860,43.3272,-78.2394,United States of America national data
Vea 5,BRA0070203,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.047866,-41.38978,Brazil national data
ISAR-2,WRI1005849,1485.0,Nuclear,Germany,,IAEA,48.6049153366,12.2935913711,GEO data
Vea 6,BRA0070204,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.04813,-41.385844,Brazil national data
Engels TPP-3,WRI1003703,182.0,Gas,Russia,t+group,t+group,51.46,46.1537,GEO data
GT-TPP (gas turbine TPP) "Luch",WRI1003705,60.0,Gas,Russia,Quandra,Quandra,50.610743,36.580152,CARMA data
Caetité V,BRA0070303,10.5,Solar,Brazil,Centrais Eólicas Itapuã V Ltda.,http://sigel.aneel.gov.br/kmz.html,-14.012518,-42.605387,Brazil national data
Gubkin TPP,WRI1003707,29.0,Gas,Russia,Quandra,Quandra,51.281667,37.545833,CARMA data
Vea 7,BRA0070205,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.048412,-41.381653,Brazil national data
Chute-du-Diable,WRI1015769,220.0,Hydro,Canada,Rio Tinto Alcan,Canadian Power Plant Database,45.803397365,-75.083191557,CARMA data
Griffith Energy LLC,USA0055124,654.4,Gas,United States of America,Star  West Gen Griffith Energy LLC,EIA-860,35.054029,-114.133272,United States of America national data
Ameresco Vasco Road,USA0058435,4.4,Waste,United States of America,Ameresco Vasco Road  LLC,EIA-860,37.754444,-121.728889,United States of America national data
Vea 8,BRA0070206,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.048705,-41.377281,Brazil national data
Unha de Gato,BRA0031419,21.0,Wind,Brazil,Renova Energia SA,http://sigel.aneel.gov.br/kmz.html,-13.962425,-42.650443,Brazil national data
Vansycle,USA0055125,25.0,Wind,United States of America,ESI Vansycle Partners LP,EIA-860,45.936157,-118.65999,United States of America national data
P.E. MUNILLA-LASANTA,WRI1007147,10.0,Wind,Spain,MOLINOS DEL CIDACOS  S.A.,Red Eléctrica de España,43.16148,-5.623441,CARMA data
Glória,BRA0020573,1.0,Hydro,Brazil,Glória Geradora de Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-16.031111,-55.361111,Brazil national data
Hermiston Generating Plant,USA0054761,621.2,Gas,United States of America,Hermiston Generating Co LP,EIA-860,45.8042,-119.37,United States of America national data
Vea 9,BRA0070207,30.0,Solar,Brazil,Bondia Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-4.049003,-41.372836,Brazil national data
Plymouth Site 1,USA0059137,5.6,Solar,United States of America,Borrego Solar Systems Inc,EIA-860,41.96,-70.778611,United States of America national data
Milford Power Project,USA0055126,578.0,Gas,United States of America,Milford Power Co LLC,EIA-860,41.224355,-73.099728,United States of America national data
Canoa Quebrada,BRA0010908,28.0,Hydro,Brazil,Rio Verde Energia S.A.,http://sigel.aneel.gov.br/kmz.html,-12.783333,-56.0,Brazil national data
Manchief Electric Generating Station,USA0055127,300.0,Gas,United States of America,Manchief Power Co LLC,EIA-860,40.217143,-103.68504,United States of America national data
Bowline Point,USA0002625,1242.0,Gas,United States of America,NRG New York LLC,EIA-860,41.2044,-73.9689,United States of America national data
Kyocera America Project,USA0010720,3.8,Gas,United States of America,Kyocera America Inc,EIA-860,32.886111,-117.1175,United States of America national data
SRW Cogen LP,USA0055120,505.0,Gas,United States of America,DuPont Sabine River Works,EIA-860,30.054478,-93.757435,United States of America national data
Suzano,BRA0041585,39.9,Coal,Brazil,Suzano Papel e Celulose S.A.,http://sigel.aneel.gov.br/kmz.html,-23.53901,-46.301535,Brazil national data
Bayou Cove Peaking Power,USA0055433,416.0,Gas,United States of America,NRG South CentralOperationsInc,EIA-860,30.2825,-92.5997,United States of America national data
PARQUE EOLICO LA MAZA,WRI1007485,22.95,Wind,Spain,BOREAS EOLICA  S.L.,Red Eléctrica de España,39.6,-1.8,CARMA data
Saguaro,USA0000118,184.5,Gas,United States of America,Arizona Public Service Co,EIA-860,32.5517,-111.3,United States of America national data
NAFTA Region Olefins Complex Cogen Fac,USA0055122,83.2,Gas,United States of America,BASF Corp,EIA-860,29.954321,-93.883592,United States of America national data
Almas,BRA0010558,1.4,Hydro,Brazil,RBO ENERGIA S.A.,http://sigel.aneel.gov.br/kmz.html,-16.576111,-45.961389,Brazil national data
Cholla,USA0000113,1128.8,Coal,United States of America,Arizona Public Service Co,EIA-860,34.9394,-110.3033,United States of America national data
York County Resource Recovery,USA0050215,36.5,Waste,United States of America,York County Solid W & R Auth,EIA-860,40.0017,-76.7183,United States of America national data
Raeford Farm,USA0058274,5.0,Solar,United States of America,Heelstone Energy Holdings  LLC,EIA-860,34.968889,-79.211944,United States of America national data
Magic Valley Generating Station,USA0055123,801.0,Gas,United States of America,Calpine Corp-Magic Valley,EIA-860,26.3403,-98.19,United States of America national data
West Phoenix,USA0000117,1207.4,Gas,United States of America,Arizona Public Service Co,EIA-860,33.4417,-112.1583,United States of America national data
Ocotillo,USA0000116,334.0,Solar,United States of America,Arizona Public Service Co,EIA-860,33.4225,-111.9122,United States of America national data
Douglas,USA0000114,26.1,Oil,United States of America,Arizona Public Service Co,EIA-860,31.364122,-109.5538,United States of America national data
Summer North Solar,USA0058757,6.5,Solar,United States of America,Silverado Power,EIA-860,34.723056,-118.289722,United States of America national data
ReEnergy Biomass LLC,USA0054526,21.1,Waste,United States of America,ReEnergy Biomass LLC,EIA-860,43.617965,-75.305443,United States of America national data
Gainesville Renewable Energy Center,USA0057241,116.1,Waste,United States of America,Gainesville Renewable Energy Center LLC,EIA-860,29.7675,-82.396388,United States of America national data
MU Combined Heat and Power Plant,USA0050969,91.1,Gas,United States of America,Curators of the University of Missouri,EIA-860,38.9461,-92.3328,United States of America national data
Homer City Generating Station,USA0003122,2012.0,Coal,United States of America,NRG Homer City Services LLC,EIA-860,40.512825,-79.196107,United States of America national data
Toledo Ref Power Recovery Train,USA0050965,6.0,Oil,United States of America,Toledo Refining Company,EIA-860,41.6325,-83.5042,United States of America national data
Blossburg,USA0003120,24.0,Gas,United States of America,NRG REMA LLC,EIA-860,41.706475,-77.08184,United States of America national data
Naval Hospital Medical Center,USA0050963,5.3,Gas,United States of America,Department of the Navy,EIA-860,32.7261,-117.1464,United States of America national data
BHKW H.120,WRI1005588,16.9,Gas,Germany,Daimler AG,Open Power System Data,51.25454,6.78648,WRI data
Slate Creek,USA0050961,4.2,Hydro,United States of America,Slate Creek Hydro Assoc LP,EIA-860,40.976859,-122.456251,United States of America national data
Piney,USA0003124,30.0,Hydro,United States of America,BP Piney & Deep Creek LLC,EIA-860,41.192088,-79.433501,United States of America national data
International Paper Kwidzyn,WRI1019082,112.0,Coal,Poland,,ENTSOE,53.724949,18.931137,CARMA data
Wasatch Energy Systems Energy Recovery,USA0055302,1.6,Waste,United States of America,Wasatch Integrated Waste Management,EIA-860,41.1097,-111.9554,United States of America national data
Spring Creek Energy Center,USA0055651,338.0,Gas,United States of America,Westar Energy Inc,EIA-860,35.7422,-97.655,United States of America national data
Baconton Power Plant,USA0055304,242.0,Gas,United States of America,Baconton Power LLC,EIA-860,31.3869,-84.08,United States of America national data
Gila River Power Station,USA0055306,619.0,Gas,United States of America,Gila River Power Station LP,EIA-860,32.975,-112.6944,United States of America national data
WFEC GenCo LLC,USA0055655,90.0,Gas,United States of America,Western Farmers Elec Coop  Inc,EIA-860,35.0833,-98.2264,United States of America national data
Calvert City,USA0055308,26.7,Gas,United States of America,DTE Calvert City LLC,EIA-860,37.048333,-88.353889,United States of America national data
Air Products Port Arthur,USA0055309,169.1,Gas,United States of America,Air Products LLC,EIA-860,29.866497,-93.96515,United States of America national data
GichtNatural Gaskraftwerk Dillingen,WRI1005696,85.0,Other,Germany,Aktien-Gesellschaft der Dillinger Hüttenwerke  ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH  als Bruchteilsgemeinschaft,Open Power System Data,49.35485,6.73149,WRI data
Rothes 2,WRI1005007,41.0,Wind,United Kingdom,Fred Olsen,UK DUKES,57.5262392554,-3.20663452148,CARMA data
Ameresco San Joaquin,USA0058436,4.4,Waste,United States of America,Ameresco San Joaquin  LLC,EIA-860,38.029722,-120.929722,United States of America national data
Pamlico Partners Solar,USA0058799,5.0,Solar,United States of America,SunEnergy1,EIA-860,35.501111,-76.87,United States of America national data
P.E. DE MONTE DA SERRA,WRI1007001,14.4,Wind,Spain,ENERGIAS AMBIENTALES DE SOMOZAS  S.A.,Red Eléctrica de España,43.5333333,-7.9333333,CARMA data
West Tennessee Solar Farm,USA0058431,4.2,Solar,United States of America,UT West Tennessee Solar Farm,EIA-860,35.408611,-89.3875,United States of America national data
DROGENBOS GT0,WRI1002225,48.0,Gas,Belgium,,ELIA Belgian Grid Operator,50.8023,4.299,GEO data
Hanford 1 and 2,USA0059300,3.0,Solar,United States of America,Sequoia PV 2  LLC,EIA-860,36.306667,-119.629167,United States of America national data
J&A-Santa Maria II LLC,USA0057101,1.4,Waste,United States of America,J&A-Santa Maria II LLC,EIA-860,34.9494,-120.3803,United States of America national data
Mill C,USA0006486,6.0,Hydro,United States of America,New York State Elec & Gas Corp,EIA-860,44.6967,-73.6122,United States of America national data
VARAHI,WRI1001503,345.0,Hydro,India,,Central Energy Agency,13.657607,74.948387,WRI data
Lameque Wind Power Project,WRI1017286,45.0,Wind,Canada,,Canadian Wind Energy Association,47.7936110029,-64.6475028992,CARMA data
Red Lion Energy Center,USA0058433,27.0,Gas,United States of America,Diamond State Generation Partners  LLC,EIA-860,39.616389,-75.630556,United States of America national data
P.E. CARAMONTE,WRI1006962,49.94,Wind,Spain,EOLICA DE MEDINACELI  S.L.,Red Eléctrica de España,41.172235,-2.43476,CARMA data
Atlas Power Sheikhupura,WRI1001643,225.0,Gas,Pakistan,IPP,Private Power and Infrastructure Board,31.6786,74.0839,GEO data
Tapal Energy Limited Karachi,WRI1001640,126.0,Oil,Pakistan,IPP,Private Power and Infrastructure Board,24.9996524429,66.9072210789,GEO data
Bend,USA0006484,1.1,Hydro,United States of America,PacifiCorp,EIA-860,44.062326,-121.313331,United States of America national data
Halmore Power Generation Company,WRI1001646,225.0,Gas,Pakistan,IPP,Private Power and Infrastructure Board,31.6236111,73.9169444,CARMA data
Hub Power Project- Narowal,WRI1001647,220.0,Oil,Pakistan,IPP,Private Power and Infrastructure Board,24.9057,66.6946,GEO data
Engro Energy Ltd. Karachi,WRI1001644,217.0,Gas,Pakistan,IPP,Private Power and Infrastructure Board,28.027,69.3631,GEO data
Foundation Power Company (Daharki),WRI1001645,185.0,Gas,Pakistan,IPP,Private Power and Infrastructure Board,27.988,69.671,GEO data
Mcindoes,USA0006483,10.4,Hydro,United States of America,TransCanada Hydro Northeast Inc.,EIA-860,44.2603,-72.0592,United States of America national data
Nishat Power Limited,WRI1001649,200.0,Oil,Pakistan,IPP,Private Power and Infrastructure Board,31.1388889,73.9125,CARMA data
Biancogrês,BRA0040751,10.22,Coal,Brazil,Biancogrês Cerâmica S/A,http://sigel.aneel.gov.br/kmz.html,-20.12501,-40.298535,Brazil national data
Nova Geração,BRA0040750,6.2,Coal,Brazil,Nova Geração Comércio e Serviços S.A,http://sigel.aneel.gov.br/kmz.html,-17.27426,-50.139535,Brazil national data
Pernambuco III,BRA0040752,200.79,Coal,Brazil,Termelétrica Pernambuco III S.A,http://sigel.aneel.gov.br/kmz.html,-7.85851,-35.008035,Brazil national data
Gonçalves Salles,BRA0040755,1.12,Coal,Brazil,Gonçalves Salles S.A. Indústria e Comércio,http://sigel.aneel.gov.br/kmz.html,-20.912954,-46.981923,Brazil national data
Martins,BRA0040754,2.0,Coal,Brazil,USIMART – Usina Termoelétrica Martins Ltda - EPP,http://sigel.aneel.gov.br/kmz.html,-9.46401,-59.694896,Brazil national data
Wal Mart Chapecó,BRA0040759,1.04,Coal,Brazil,Wal Mart Brasil Ltda.,http://sigel.aneel.gov.br/kmz.html,-27.092399,-52.608868,Brazil national data
Barre,USA0055776,1.0,Waste,United States of America,Zapco Energy Tactics Corp,EIA-860,42.4192,-72.1106,United States of America national data
San Francisquito 2,USA0006480,42.0,Hydro,United States of America,Los Angeles Department of Water & Power,EIA-860,34.534337,-118.525113,United States of America national data
Warsaw II,USA0059120,2.0,Solar,United States of America,Warsaw Solar 2 LLC,EIA-860,35.01,-78.05,United States of America national data
PARQUE EOLICO LA GOMERA,WRI1007481,10.0,Wind,Spain,SISTEMAS ENERGETICOS LA GOMERA S.A.U,Red Eléctrica de España,37.237651,-5.107465,CARMA data
Morganton Station 5,USA0056344,1.8,Oil,United States of America,North Carolina Mun Power Agny #1,EIA-860,35.7631,-81.6964,United States of America national data
AUXILIAR DEL MAIPO (CAEMSA),CHL0000007,5.1,Hydro,Chile,Unknown,Unknown,-33.6426894092,-70.6336424109,Chile national data
Paulding Wind Farm II,USA0057620,99.0,Wind,United States of America,Paulding Wind Farm II LLC,EIA-860,41.025278,-84.779166,United States of America national data
EAFB - North Base,USA0059132,1.1,Solar,United States of America,Borrego Solar Systems Inc,EIA-860,34.9325,-117.907222,United States of America national data
COMBE D'AVRIEUX,WRI1002710,123.0,Hydro,France,,RTE Transmission Operator,45.215,6.712,GEO data
RITHALA CCCP,WRI1001395,94.8,Gas,India,,Central Energy Agency,28.7327,77.1016,GEO data
RMC MANGROL,WRI1001396,6.0,Hydro,India,,Central Energy Agency,25.3333333,76.5166667,CARMA data
ROKHIA GT,WRI1001397,95.0,Gas,India,,Central Energy Agency,23.626,91.1948,GEO data
RAYAL SEEMA,WRI1001390,1050.0,Coal,India,,Central Energy Agency,14.704,78.4577,GEO data
Daniel Farm LLC,USA0059126,5.0,Solar,United States of America,Daniel Farm LLC,EIA-860,35.848889,-80.553611,United States of America national data
RENGALI,WRI1001392,250.0,Hydro,India,,Central Energy Agency,21.2759,85.0355,GEO data
RIHAND,WRI1001393,3000.0,Coal,India,,Central Energy Agency,24.027,82.7915,GEO data
Cencosud GBarbosa 35,BRA0040283,1.08,Coal,Brazil,Cencosud Brasil Comercial Ltda.,http://sigel.aneel.gov.br/kmz.html,-12.991389,-38.448611,Brazil national data
Sdrrc,BRA0040280,1.08,Coal,Brazil,Claro S.A,http://sigel.aneel.gov.br/kmz.html,-12.976944,-38.5075,Brazil national data
Cencosud GBarbosa 6,BRA0040287,1.08,Coal,Brazil,Cencosud Brasil Comercial Ltda.,http://sigel.aneel.gov.br/kmz.html,-10.941389,-37.058056,Brazil national data
ROSA TPP PH 1,WRI1001399,1200.0,Coal,India,,Central Energy Agency,27.818,79.936,GEO data
Hospital Mater Dei Contorno II,BRA0040285,2.4,Coal,Brazil,Hospital Mater Dei - Matriz,http://sigel.aneel.gov.br/kmz.html,-19.926639,-43.957861,Brazil national data
Torangallu,WRI1001469,860.0,Coal,India,,Central Energy Agency,15.187047,76.660653,WRI data
Ventos da Serra Azul 05,BRA0031528,14.7,Wind,Brazil,CASAFORTE EÓLICA LTDA.,http://sigel.aneel.gov.br/kmz.html,-9.581523,-41.066858,Brazil national data
SARMATO,WRI1002949,180.0,Gas,Italy,EON,Power Plants at Risk of Shutting Down,45.0522,9.5072,GEO data
São Thomaz 1,BRA0011832,2.3,Hydro,Brazil,São Thomaz Energética S/A.,http://sigel.aneel.gov.br/kmz.html,-17.903889,-50.775278,Brazil national data
São Thomaz 3,BRA0011833,4.4,Hydro,Brazil,São Thomaz Energética S/A,http://sigel.aneel.gov.br/kmz.html,-17.873333,-50.699167,Brazil national data
Fundo,BRA0011830,6.4,Hydro,Brazil,FR Incorporadora Ltda,http://sigel.aneel.gov.br/kmz.html,-17.977619,-51.211756,Brazil national data
São Thomaz 4,BRA0011831,7.4,Hydro,Brazil,São Thomaz Energética S/A.,http://sigel.aneel.gov.br/kmz.html,-17.857222,-50.619444,Brazil national data
Aré,BRA0011836,13.0,Hydro,Brazil,Rodrigo Pedroso Energia Ltda.,http://sigel.aneel.gov.br/kmz.html,-21.25,-41.783333,Brazil national data
Tucano M1,BRA0011837,2.96,Hydro,Brazil,TPI - Triunfo participações e Investimentos S.A.,http://sigel.aneel.gov.br/kmz.html,-18.610556,-51.4175,Brazil national data
São Thomaz 2,BRA0011834,4.0,Hydro,Brazil,São Thomaz Energética S/A,http://sigel.aneel.gov.br/kmz.html,-17.871111,-50.715833,Brazil national data
Fazenda Grande,BRA0011835,5.0,Hydro,Brazil,Ceriluz – Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.,http://sigel.aneel.gov.br/kmz.html,-28.675556,-53.9725,Brazil national data
Barra da Europa II,BRA0011528,1.8,Hydro,Brazil,Mauê S.A. – Geradora e Fornecedora de Insumos,http://sigel.aneel.gov.br/kmz.html,-26.824719,-52.915924,Brazil national data
Boi Morto,BRA0011529,1.6,Hydro,Brazil,Mauê S.A. – Geradora e Fornecedora de Insumos,http://sigel.aneel.gov.br/kmz.html,-26.774913,-52.929729,Brazil national data
Córrego do Veado,BRA0011838,4.4,Hydro,Brazil,não identificado,http://sigel.aneel.gov.br/kmz.html,-18.970278,-52.603056,Brazil national data
Ponte Velha,BRA0011839,2.3,Hydro,Brazil,M.P Energia Ltda,http://sigel.aneel.gov.br/kmz.html,-18.983611,-52.590556,Brazil national data
Three Forks Water Power Project,USA0054308,1.3,Hydro,United States of America,Grizzly Mountain Ranch,EIA-860,40.199822,-123.523145,United States of America national data
Russell Energy Center,USA0007930,15.0,Gas,United States of America,City of Russell - (KS),EIA-860,38.899722,-98.839444,United States of America national data
